Chip,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Temperature,Class
2,0.452079862,0.839883864,0.828703165,0.744727373,0.764745951,0.770104587,0.747643769,0.70325321,0.67532599,0.657707453,0.704066455,0.608951628,0.671345055,0.666130781,0.618738294,0.633620083,0.570427835,0.583285153,0.551403403,0.592750967,0.557312846,0.607350588,0.563589752,0.530794501,0.542728961,0.502789378,0.624176621,0.49420464,0.467086315,0.5456146,0.645123243,0.618570209,20.0,1
2,0.450378239,0.843874514,0.844670653,0.733677268,0.766145289,0.785473049,0.733655393,0.695534706,0.664981544,0.646765351,0.69007355,0.612652838,0.664845467,0.665092111,0.635944247,0.634658813,0.57128495,0.592480481,0.557161093,0.58906877,0.541672409,0.61953485,0.556049168,0.53675735,0.535116553,0.499348283,0.626296163,0.492580354,0.483221203,0.553059399,0.640311837,0.617900908,20.1,1
2,0.441860378,0.850347996,0.838211894,0.744974256,0.767608821,0.776809692,0.749682724,0.705883384,0.671078324,0.65683341,0.700512707,0.612294078,0.671310186,0.669361591,0.61600697,0.637744665,0.578307152,0.609928548,0.556930304,0.591233671,0.541946411,0.611513913,0.569270194,0.536559761,0.525329053,0.501109362,0.622069418,0.488346457,0.477076113,0.561110198,0.643303454,0.617898881,20.2,1
2,0.433896899,0.859098256,0.849691749,0.749954522,0.766604304,0.78804177,0.728811681,0.711176872,0.666814208,0.659728885,0.694115102,0.620095611,0.676635683,0.673063278,0.628692985,0.637795866,0.574376345,0.610293448,0.549095333,0.593749106,0.54751879,0.604391575,0.550402284,0.53469032,0.538938761,0.495041043,0.612660587,0.484636366,0.496015668,0.540043116,0.646456301,0.627379477,20.3,1
2,0.45256725,0.869292915,0.857814729,0.751395404,0.764551938,0.781402707,0.725623429,0.696971655,0.664736271,0.634863913,0.699475884,0.622071028,0.674884498,0.675625682,0.617043972,0.635882139,0.570480585,0.618596196,0.539833069,0.588737965,0.540106416,0.598106265,0.550570548,0.528083384,0.51902312,0.506127,0.624248981,0.478773683,0.490350723,0.545659125,0.63176018,0.617799878,20.4,1
2,0.455536455,0.867929339,0.850255072,0.748598516,0.765781701,0.792654037,0.734524071,0.680877268,0.66706425,0.6566571,0.697826326,0.638417304,0.666086674,0.669398725,0.615385354,0.639931321,0.58224678,0.623142064,0.529037952,0.587853789,0.547183633,0.602837682,0.551815927,0.526952386,0.535481453,0.496761829,0.614492774,0.482192963,0.495278239,0.546183527,0.643251777,0.618517518,20.5,1
2,0.45656094,0.879911542,0.8478477,0.766376197,0.780859351,0.807763815,0.7097947,0.705938518,0.676208913,0.649036884,0.708642721,0.632935047,0.677761972,0.68358165,0.617123246,0.643957317,0.564005375,0.603940666,0.516682804,0.589896321,0.553237975,0.581104934,0.55653429,0.539306164,0.529758453,0.496384084,0.628864706,0.483462095,0.487523377,0.553065717,0.634969592,0.620970428,20.6,1
2,0.456911266,0.864232004,0.850481987,0.777300477,0.780620515,0.808760047,0.724466562,0.717324913,0.671116531,0.648206055,0.694988489,0.642147958,0.677678525,0.680841744,0.608923852,0.638300598,0.568864763,0.602711558,0.512974858,0.597947478,0.557046711,0.589753091,0.543492019,0.547740817,0.535642684,0.513067901,0.629694819,0.480802149,0.494977444,0.547677517,0.638351619,0.618133605,20.7,1
2,0.458320618,0.875755668,0.856036246,0.78504765,0.78123796,0.809485972,0.73347646,0.705707192,0.680486023,0.655302227,0.6997419,0.658081949,0.682004452,0.676044822,0.596074939,0.649342835,0.559904456,0.609780312,0.525257707,0.588074684,0.553329289,0.589404643,0.564634681,0.542968631,0.544508338,0.518472791,0.621547103,0.48894015,0.48779729,0.546668589,0.646815062,0.620924234,20.8,1
2,0.466625273,0.891842902,0.862773895,0.778298497,0.783550322,0.81587863,0.725239277,0.702948749,0.684257269,0.660129786,0.696857154,0.66573596,0.669327259,0.684466183,0.591822505,0.634631813,0.575941145,0.59139514,0.51408869,0.589975595,0.546457648,0.576621234,0.558142066,0.532253802,0.556557477,0.512110174,0.612590551,0.486828804,0.46995008,0.546201348,0.636620581,0.624117434,20.9,1
2,0.454633236,0.873189449,0.864676237,0.787807822,0.789715767,0.804512382,0.716010392,0.690513849,0.688950837,0.655105829,0.696564019,0.680350065,0.663360178,0.685350955,0.575042188,0.640591919,0.588686049,0.588493824,0.517421603,0.597888827,0.550393403,0.585015059,0.569329917,0.551353991,0.551081121,0.52394104,0.6229918,0.489001244,0.465529174,0.543156266,0.634309828,0.621508598,21.0,1
2,0.474410892,0.881483972,0.854217708,0.796246648,0.791132987,0.803856909,0.706787109,0.708498001,0.707931697,0.654862046,0.697244227,0.685721993,0.686054945,0.688154042,0.576709747,0.626711547,0.5890432,0.586323321,0.510818362,0.588692367,0.554203212,0.582997382,0.571876287,0.534951627,0.560789108,0.516274154,0.618531108,0.501315653,0.469087005,0.548326433,0.637970448,0.617938876,21.1,1
2,0.46940431,0.890330136,0.851907909,0.787152648,0.795513034,0.803341031,0.709162831,0.703558028,0.702845275,0.666312635,0.703436315,0.687578261,0.676229,0.691128373,0.580798209,0.646704495,0.572029352,0.577151537,0.518401027,0.597991884,0.555674613,0.596858323,0.568137407,0.539664149,0.548890829,0.519712746,0.61385566,0.493347675,0.479148924,0.546259999,0.638975739,0.62169975,21.2,1
2,0.479349554,0.906648815,0.846369743,0.804989815,0.796015322,0.794403195,0.709334016,0.708091319,0.714199245,0.670022309,0.711188078,0.672851264,0.681686103,0.685282528,0.565178514,0.629220009,0.593034089,0.563348114,0.519446135,0.584526002,0.559760153,0.593161643,0.570190609,0.54057914,0.555066586,0.511788368,0.61494869,0.49280414,0.490060836,0.536895037,0.639488101,0.624972284,21.3,1
2,0.471770346,0.902226448,0.861056209,0.794072509,0.804744959,0.802393615,0.708570778,0.706702769,0.714266181,0.66332221,0.710323632,0.676954985,0.676259816,0.686454058,0.565697193,0.647577226,0.577131569,0.573600411,0.545141399,0.589556456,0.559939861,0.60482955,0.572806001,0.5396384,0.543508172,0.512967229,0.621135771,0.490227878,0.482928544,0.541021883,0.638991237,0.621160746,21.4,1
2,0.48129645,0.897805452,0.863467336,0.810730636,0.799150765,0.795012355,0.704517066,0.697001338,0.7303949,0.664627016,0.701699972,0.677185118,0.673184514,0.694709539,0.562560141,0.634322762,0.587918997,0.552242339,0.5374403,0.588575482,0.557717681,0.619455993,0.571988046,0.538074613,0.537845731,0.500402808,0.618671477,0.500792801,0.492482066,0.544501126,0.642423034,0.6246562,21.5,1
2,0.490017474,0.904309154,0.849922419,0.806516051,0.800926626,0.787899494,0.706205606,0.705628932,0.735072672,0.666792393,0.708933413,0.676885664,0.676858246,0.684714496,0.573239684,0.640512824,0.571941018,0.563889205,0.553058386,0.593921721,0.548244417,0.609754324,0.566931784,0.534369707,0.525482714,0.506100178,0.621642292,0.490626425,0.490913272,0.544276536,0.629132867,0.620188236,21.6,1
2,0.480345517,0.91983062,0.858334184,0.815340221,0.810712159,0.788432539,0.71190083,0.713605344,0.73895812,0.669072926,0.693911672,0.675824642,0.665465951,0.691117108,0.575992405,0.637925208,0.5888834,0.568754375,0.555964947,0.584640682,0.550221741,0.611041903,0.566749454,0.532401204,0.528366745,0.510156572,0.616356611,0.479484856,0.498226672,0.544201851,0.638704419,0.619590759,21.7,1
2,0.489343584,0.921906054,0.851198196,0.816609919,0.808162749,0.780596435,0.704031587,0.698485851,0.752355933,0.665181279,0.704742312,0.672260165,0.663719654,0.686907649,0.567827344,0.635320306,0.572490633,0.563328803,0.557330191,0.589124799,0.547466099,0.609754503,0.565337539,0.540259123,0.526439786,0.484413415,0.626741648,0.48371473,0.491233826,0.538624883,0.644905865,0.626029849,21.8,1
2,0.495131254,0.924499035,0.850351036,0.815145433,0.802322149,0.780070841,0.699781418,0.705344319,0.764670491,0.666819632,0.704668224,0.66614747,0.669916689,0.673009276,0.578619838,0.636487782,0.567763686,0.56777674,0.561358511,0.595816433,0.551080287,0.604615092,0.552586019,0.529715776,0.529895723,0.502191007,0.626481831,0.476652414,0.47943446,0.555446744,0.630820572,0.615245581,21.9,1
2,0.506133497,0.925777376,0.850773573,0.831613719,0.810203373,0.770195007,0.702560425,0.701536238,0.760294735,0.665084243,0.708523691,0.655953825,0.686009049,0.686338067,0.58113569,0.626937628,0.560613334,0.595244765,0.547942996,0.587459147,0.55090493,0.611871362,0.551516712,0.529083312,0.532199144,0.505220115,0.625023067,0.47532174,0.484938174,0.547439098,0.641912997,0.618170559,22.0,1
2,0.497132063,0.93084836,0.844382644,0.821681798,0.810854197,0.765473962,0.711201072,0.707309067,0.777272642,0.675879657,0.706019878,0.647593021,0.663415611,0.686335921,0.593115509,0.644628942,0.559828401,0.592846334,0.554868639,0.587325871,0.549634933,0.599728107,0.55447197,0.532377124,0.528905869,0.498312473,0.625410438,0.477483362,0.477492034,0.53374809,0.642259598,0.626563728,22.1,1
2,0.514496624,0.928452134,0.842017412,0.830619633,0.80366689,0.752026379,0.716248691,0.708179414,0.765491545,0.687299728,0.699657202,0.650761068,0.667987347,0.677766919,0.596398056,0.636649013,0.565270722,0.605383039,0.54749918,0.593286157,0.550250292,0.591251314,0.553294182,0.53717345,0.54113239,0.511087537,0.62771678,0.4823246,0.483421147,0.553720474,0.634349167,0.615579486,22.2,1
2,0.512712061,0.938093305,0.855593562,0.849537194,0.804657102,0.750784457,0.708606899,0.69894439,0.764544964,0.664195716,0.70209384,0.635953784,0.663522959,0.679710865,0.604152918,0.631547391,0.572202623,0.604086339,0.543262005,0.585917473,0.550316811,0.584521949,0.551634908,0.532660604,0.538799167,0.518428385,0.621399939,0.498609841,0.481855154,0.543875813,0.648978233,0.608185112,22.3,1
2,0.525872648,0.942146778,0.835078716,0.825132012,0.79479754,0.756433904,0.722265184,0.701516688,0.775503755,0.674544096,0.700771034,0.635091603,0.676140189,0.661126196,0.617890418,0.641820431,0.560277641,0.604825854,0.523905516,0.580307901,0.551695466,0.584012806,0.564378202,0.53786087,0.548639715,0.520641685,0.615931332,0.491500735,0.475377738,0.557131708,0.633971572,0.623323381,22.4,1
2,0.521045923,0.940188408,0.836433411,0.843194723,0.80372113,0.740611792,0.725898445,0.702615082,0.770787239,0.683421552,0.700205982,0.625046134,0.662849247,0.668279052,0.620189726,0.629688859,0.573345423,0.612851322,0.523804545,0.583709836,0.561316431,0.580995381,0.5647856,0.544219315,0.552734733,0.520263493,0.624382615,0.492954969,0.484192818,0.550121069,0.639510393,0.61452204,22.5,1
2,0.53236717,0.947247267,0.839785576,0.831873477,0.802256405,0.725036561,0.724982798,0.703208268,0.780872643,0.665947974,0.711823761,0.6250301,0.680528998,0.675760567,0.615952432,0.626179338,0.574513316,0.609778941,0.519322753,0.58431834,0.547630072,0.578648627,0.557503939,0.539646268,0.560061276,0.519707203,0.622749865,0.492338687,0.471166193,0.540503263,0.636173308,0.62840575,22.6,1
2,0.540356159,0.947622776,0.830556691,0.835808098,0.802103758,0.73112011,0.726857722,0.697312355,0.767011523,0.669758201,0.700196564,0.608652234,0.667861342,0.67294383,0.622529507,0.643869996,0.572227359,0.613446832,0.509403944,0.593415558,0.566988349,0.584104896,0.566144466,0.526412547,0.552635133,0.518417299,0.613900185,0.496043146,0.482565731,0.547905982,0.639639795,0.626582503,22.7,1
2,0.537012339,0.952727377,0.830466151,0.829234183,0.795228124,0.713490903,0.735150456,0.701174021,0.761482537,0.665147305,0.701439023,0.612571061,0.671936452,0.667802751,0.623120725,0.632508934,0.570825577,0.606094956,0.506184697,0.59467566,0.545965374,0.579356551,0.559191287,0.540816128,0.550152242,0.516896605,0.620852053,0.486057609,0.496982008,0.55286032,0.633779168,0.61995244,22.8,1
2,0.538688242,0.961796761,0.827174246,0.842290699,0.801580071,0.703754485,0.747022271,0.696494162,0.764912665,0.669423521,0.717034817,0.615284026,0.668692172,0.668444097,0.622747481,0.635047257,0.582467556,0.601414621,0.509290814,0.599489748,0.557485402,0.589956403,0.556848347,0.528864741,0.538412809,0.512722969,0.614329517,0.4787848,0.495346487,0.540472507,0.633903861,0.625172615,22.9,1
2,0.546480894,0.955807805,0.8305282,0.843919873,0.794245601,0.701217055,0.729769647,0.704855084,0.751686931,0.65409261,0.697047472,0.614739895,0.668581307,0.665045798,0.621269941,0.643361449,0.59157294,0.588366091,0.518992186,0.599061131,0.559741318,0.591318667,0.573452592,0.535391867,0.535216153,0.511525333,0.624737144,0.476144612,0.489036709,0.542701662,0.638831913,0.636471152,23.0,1
2,0.545737565,0.958228648,0.817498744,0.838656783,0.794587851,0.67921263,0.740165949,0.702835143,0.745973885,0.667749822,0.706783772,0.613524556,0.681352437,0.66915834,0.603727043,0.642008364,0.592759371,0.587668836,0.522327244,0.595610738,0.553664923,0.596370816,0.577438414,0.529537737,0.525543749,0.500530005,0.623557627,0.478976429,0.488836735,0.54531157,0.640816808,0.617365658,23.1,1
2,0.568802536,0.959639013,0.818050265,0.838792324,0.791068017,0.696474135,0.747267067,0.708496451,0.741401792,0.66424346,0.698083043,0.618795872,0.666465163,0.671158195,0.597111583,0.642917633,0.577456832,0.579273939,0.517400324,0.595709145,0.5502491,0.614572942,0.569727898,0.536395609,0.520463169,0.507779777,0.615361273,0.480403841,0.475772262,0.543321431,0.650153756,0.630192578,23.2,1
2,0.566122472,0.95993489,0.831080198,0.842000842,0.798231184,0.693669081,0.757519424,0.70219779,0.732265294,0.670872092,0.694576204,0.616681695,0.677883685,0.675287604,0.59705925,0.637436152,0.584968269,0.567138851,0.525079131,0.584604502,0.548350394,0.620908082,0.573590398,0.54477042,0.520387769,0.512894094,0.621390581,0.477835447,0.480851263,0.541939676,0.62818408,0.619838893,23.3,1
2,0.563663065,0.96350348,0.817858517,0.841955125,0.792909205,0.672730446,0.758818805,0.687552154,0.728036642,0.655209601,0.699230075,0.623966694,0.67452544,0.673301935,0.586048901,0.636841059,0.587674499,0.569405079,0.54198885,0.597917199,0.553398073,0.610029697,0.550728381,0.548389137,0.530535638,0.499504626,0.620721281,0.467716873,0.492129683,0.542283416,0.640318334,0.627612412,23.4,1
2,0.569586813,0.965261519,0.815937519,0.837460399,0.785203338,0.679010034,0.754656732,0.701864183,0.71809572,0.65631783,0.699180722,0.634250402,0.681256175,0.688051224,0.583994925,0.633772671,0.568914592,0.560353994,0.534701288,0.603530109,0.548376083,0.605279326,0.55686295,0.528673649,0.538230002,0.500270486,0.613695323,0.491445929,0.474475831,0.542613983,0.634325206,0.62628603,23.5,1
2,0.578107595,0.959450722,0.807765901,0.828899622,0.793431342,0.66007632,0.749816,0.691409647,0.707628906,0.649533808,0.693245351,0.647710443,0.666942596,0.680499673,0.575946331,0.632981777,0.576017916,0.574973285,0.544493258,0.603057265,0.549758792,0.618408144,0.557231963,0.530664325,0.53122288,0.510868013,0.611471474,0.487659246,0.484111577,0.541185558,0.632194042,0.627545416,23.6,1
2,0.594030082,0.970242918,0.801587224,0.843692183,0.773707926,0.677668154,0.765129685,0.691719949,0.690543354,0.656714857,0.69727844,0.649233282,0.671790957,0.6955235,0.564356148,0.646339118,0.574677825,0.56951046,0.555778086,0.594363928,0.556595564,0.605813026,0.554469824,0.539318442,0.539274454,0.52322185,0.628922105,0.491073847,0.479540467,0.53512603,0.64604634,0.619728863,23.7,1
2,0.590418041,0.966162503,0.784355283,0.833142459,0.776077569,0.669799984,0.772005439,0.701845944,0.687039554,0.642658591,0.698231339,0.65199393,0.678232551,0.687339723,0.575734258,0.64181453,0.579386055,0.57485956,0.55594337,0.578310132,0.554818869,0.587400734,0.56601119,0.545214951,0.543680966,0.522500575,0.622719705,0.496186107,0.486550599,0.542504489,0.629549682,0.622178078,23.8,1
2,0.607465565,0.978038728,0.803315699,0.819728613,0.769417107,0.664064288,0.769179761,0.693448782,0.694604635,0.647079647,0.700515687,0.665515542,0.665330768,0.679014325,0.571660817,0.621165335,0.57558763,0.578186274,0.565148354,0.595204711,0.561061144,0.585920632,0.546554923,0.54222399,0.551731408,0.510715902,0.628530145,0.491906971,0.480716139,0.545106947,0.630613148,0.63012284,23.9,1
2,0.603526294,0.973610044,0.785327494,0.828114927,0.763610363,0.660044849,0.772653997,0.696191788,0.686241031,0.653865278,0.688973784,0.669377148,0.67809242,0.689509809,0.564398527,0.628301561,0.577613831,0.579350412,0.55385673,0.584766984,0.546556175,0.577947736,0.561870337,0.53576082,0.557447433,0.515969455,0.622112274,0.485540748,0.479162514,0.545829892,0.637298107,0.617734015,24.0,1
2,0.607882619,0.968415976,0.788447142,0.816220045,0.768238485,0.66726774,0.769399881,0.694765866,0.667171896,0.650363922,0.705093741,0.657672405,0.676214099,0.686453879,0.56235081,0.638963521,0.573800921,0.592184305,0.557493687,0.591643393,0.540405512,0.580078065,0.563245475,0.549116075,0.557658076,0.519773066,0.61562556,0.495968342,0.489334464,0.545592189,0.639291704,0.630250037,24.1,1
2,0.61804074,0.96472162,0.778471231,0.810282946,0.767722249,0.664181948,0.759968042,0.702057004,0.675558269,0.645241976,0.696439922,0.678752542,0.671061516,0.681289017,0.57523334,0.634462535,0.555109918,0.589523315,0.547634482,0.587600648,0.549468815,0.582120657,0.561058462,0.530650198,0.552467108,0.503616393,0.622883379,0.480102092,0.486540288,0.55317229,0.637814879,0.620744526,24.2,1
2,0.62802273,0.969651163,0.785131574,0.813607395,0.763544559,0.663589358,0.762197435,0.690042078,0.682070613,0.653082192,0.707493603,0.674340606,0.669513941,0.69146347,0.574843526,0.632927001,0.563370466,0.598938406,0.535290122,0.581908584,0.559520483,0.577454209,0.570094764,0.535497189,0.540973008,0.509920895,0.616802812,0.477908075,0.495824635,0.534304559,0.631544471,0.615041852,24.3,1
2,0.635564685,0.970725596,0.780634761,0.80467391,0.766048014,0.669836521,0.751610637,0.691714644,0.6677984,0.637045503,0.701438785,0.670667589,0.671396852,0.688463628,0.582854569,0.63529557,0.573438048,0.609549403,0.528613269,0.596206188,0.551375806,0.590285063,0.576592386,0.54053688,0.539630234,0.496385455,0.624447882,0.477480441,0.482884258,0.547070503,0.63045758,0.620218098,24.4,1
