Chip,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Temperature,Class
3,0.525713086,0.962988138,0.870603383,0.725955069,0.840918958,0.71483916,0.769935071,0.752150536,0.659559011,0.695086122,0.705946088,0.647347391,0.704151571,0.687900245,0.579776406,0.650012314,0.604889274,0.673915386,0.650825083,0.610059917,0.549005568,0.601088822,0.626717269,0.660818875,0.52203685,0.473683834,0.609510541,0.56516701,0.451610029,0.566842377,0.457682163,0.599559128,20.0,1
3,0.507756293,0.96891731,0.885528266,0.74187535,0.851397634,0.709178209,0.75938499,0.746337175,0.672163606,0.691781163,0.717068017,0.654075146,0.69792217,0.683077216,0.598359227,0.64452821,0.616362214,0.672637045,0.642119944,0.626912832,0.567051589,0.59756577,0.636911929,0.671602666,0.5216645,0.4779872,0.598787427,0.551551819,0.460773855,0.557940483,0.465321988,0.578950346,20.1,1
3,0.518296957,0.966567516,0.857244015,0.745631993,0.847817361,0.723315954,0.759260714,0.750363171,0.657790303,0.679591954,0.709971547,0.656071901,0.700253248,0.678888142,0.588554025,0.649888158,0.599353313,0.67304188,0.628815711,0.617410898,0.574842274,0.600629985,0.629775405,0.658876598,0.518066108,0.474930465,0.602004588,0.545570672,0.452269167,0.574149013,0.460992783,0.589699864,20.2,1
3,0.514493883,0.969301283,0.850221574,0.733996928,0.862829208,0.723577201,0.761371374,0.75579977,0.659251094,0.683741093,0.71803093,0.659043431,0.688821018,0.67893523,0.59710443,0.642764211,0.607107997,0.674113929,0.640854836,0.620452523,0.578640223,0.585867286,0.638258159,0.654298842,0.532838523,0.483991712,0.600739896,0.548276842,0.453540117,0.55388099,0.463395178,0.595949173,20.3,1
3,0.512471855,0.97617209,0.862513423,0.74742949,0.864429116,0.722537041,0.763235927,0.753703713,0.661816597,0.700899661,0.702532649,0.679813802,0.691218913,0.685662389,0.604398668,0.62496388,0.603056014,0.675312042,0.651471615,0.60324204,0.574646235,0.604585886,0.642435014,0.653867185,0.531014681,0.470090866,0.609930694,0.55769676,0.452648282,0.570337534,0.456633449,0.590323746,20.4,1
3,0.503342867,0.977792382,0.85571146,0.756867826,0.854548037,0.726402223,0.748907745,0.745700657,0.667031109,0.68673563,0.700299621,0.679017127,0.690792859,0.67803669,0.618546963,0.617430747,0.613747776,0.670995474,0.640186191,0.623602092,0.588583171,0.595074058,0.643718064,0.663518429,0.539535046,0.486249775,0.593690813,0.54943186,0.452848136,0.556117713,0.447180569,0.601194799,20.5,1
3,0.505338013,0.986180544,0.861991286,0.747472525,0.855061829,0.740957379,0.752538443,0.754860103,0.680482984,0.685328901,0.704958975,0.686367214,0.695139825,0.678551197,0.620204687,0.612110138,0.596549392,0.673960686,0.641707599,0.621075332,0.583566427,0.588786781,0.641158998,0.670958221,0.535430789,0.481661767,0.608262122,0.554533601,0.449332684,0.565658689,0.442318112,0.589741647,20.6,1
3,0.510050356,0.985750794,0.832299292,0.751589656,0.867215753,0.742671549,0.757226884,0.749866009,0.682102025,0.689805329,0.70225817,0.687357128,0.691365361,0.681920707,0.62484771,0.620346606,0.61677748,0.672796547,0.652243972,0.615784943,0.587171316,0.578290403,0.630355537,0.683922768,0.535827816,0.490514457,0.612771988,0.574074388,0.46144709,0.552431285,0.449655741,0.587908149,20.7,1
3,0.494284451,0.984474719,0.849029779,0.770198405,0.855940819,0.750649452,0.745076537,0.746238053,0.687843502,0.701483846,0.712486863,0.70541501,0.684131801,0.671841919,0.638816833,0.606442451,0.612998903,0.682401061,0.665292859,0.615648389,0.572246194,0.581039131,0.639373541,0.667095423,0.537782848,0.491660714,0.613823414,0.571821809,0.463675171,0.544771731,0.435026109,0.600375772,20.8,1
3,0.477711171,0.992337048,0.834487319,0.770661116,0.874501944,0.757149518,0.746068418,0.766856194,0.695458949,0.692215621,0.708173573,0.699908853,0.683348536,0.680442512,0.652829289,0.606954455,0.622030377,0.67648834,0.661033273,0.617823124,0.573964179,0.573107302,0.627042413,0.67236948,0.535945892,0.494803101,0.604742646,0.566975415,0.45372209,0.550454497,0.448317349,0.599090099,20.9,1
3,0.498644054,0.987421989,0.829125285,0.771211505,0.865214348,0.771320105,0.743629813,0.750338554,0.70501709,0.686482072,0.705312729,0.710042179,0.693434358,0.675100386,0.64957726,0.603544235,0.619494557,0.68981564,0.671432018,0.621242344,0.578323662,0.565947592,0.629947782,0.671029627,0.524930775,0.485403001,0.602838933,0.582976639,0.470100552,0.532819688,0.451725453,0.594773352,21.0,1
3,0.490184963,0.993825734,0.830233812,0.784050047,0.863224387,0.775515616,0.732903481,0.745114863,0.723921895,0.694314003,0.706471264,0.7164554,0.697621942,0.669255972,0.64094615,0.587631881,0.614913285,0.693198681,0.678740621,0.611106157,0.569577217,0.568425655,0.621600926,0.673914135,0.519923449,0.481954455,0.609365404,0.572335422,0.462926745,0.543335855,0.438147724,0.585995078,21.1,1
3,0.492893219,0.999709845,0.821696043,0.790501893,0.861570537,0.794353902,0.748424113,0.748884559,0.715443552,0.699572861,0.712624848,0.706778824,0.704624772,0.664752305,0.636847973,0.598914683,0.619208455,0.691987514,0.679512978,0.61699599,0.558306277,0.569441497,0.610477149,0.668438435,0.517433882,0.481851757,0.610833645,0.573965013,0.457143635,0.556149244,0.461838484,0.590304971,21.2,1
3,0.485770077,0.999705255,0.825755179,0.777143359,0.862229705,0.77968967,0.740116954,0.752558887,0.731566787,0.707364619,0.705968797,0.708245933,0.704375327,0.671248019,0.645515323,0.601952553,0.61322844,0.688511133,0.679655731,0.612841189,0.552478373,0.576415241,0.634673297,0.664929032,0.514397979,0.486410975,0.594506919,0.57017529,0.450982034,0.555771947,0.459093839,0.591782749,21.3,1
3,0.486273021,0.987892807,0.828121006,0.788880825,0.867776453,0.805330098,0.721188843,0.762563467,0.738355517,0.713079929,0.711510301,0.691865087,0.714491725,0.678672194,0.641331792,0.612565875,0.613993347,0.67855525,0.671934783,0.607192814,0.549350202,0.591641545,0.629724324,0.672336102,0.515328765,0.482459873,0.612977207,0.566905558,0.460031271,0.565521121,0.457291305,0.588425159,21.4,1
3,0.487086803,0.994001925,0.808536589,0.789586306,0.859868407,0.815258086,0.733197451,0.75776279,0.746974885,0.712554276,0.700644314,0.705878139,0.709456325,0.693376601,0.640900195,0.60665518,0.618298531,0.687073946,0.665923297,0.618404508,0.55986613,0.594524086,0.634601295,0.671377361,0.518531501,0.479445457,0.609515905,0.558826804,0.461110651,0.567926407,0.456870556,0.58539176,21.5,1
3,0.474770218,0.985933125,0.827491403,0.810232043,0.857972682,0.818131208,0.728665948,0.747899175,0.737675846,0.711949348,0.716187477,0.692779899,0.709255397,0.674212873,0.625054538,0.61897254,0.610778868,0.680537701,0.669595718,0.61461097,0.553279459,0.604456544,0.614844859,0.649838924,0.534926116,0.478910446,0.609494507,0.561122537,0.453963906,0.567901969,0.445146412,0.590695143,21.6,1
