Chip,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Temperature,Class
5,0.682269335,0.868924975,0.855309486,0.745697737,0.856770456,0.762830079,0.71455723,0.762162626,0.74289161,0.772431433,0.705888748,0.718480647,0.648688316,0.723917484,0.714918196,0.740044892,0.663213193,0.713440299,0.661183059,0.588050365,0.582985938,0.579622984,0.533073843,0.543822706,0.682771385,0.64916122,0.514938891,0.52217257,0.650774598,0.656520545,0.571543336,0.565841258,20.0,1
5,0.674950421,0.870936871,0.854588211,0.764636874,0.851864159,0.761156201,0.740046799,0.755003512,0.745648742,0.764973402,0.700816274,0.729060233,0.64837873,0.72170496,0.690501809,0.760935068,0.640637457,0.713207304,0.675411344,0.602079809,0.573006988,0.577251554,0.519569039,0.542049527,0.678525805,0.660532892,0.512681007,0.526992381,0.639820039,0.664596379,0.576156318,0.574523926,20.1,1
5,0.675540566,0.869457662,0.848955691,0.759359479,0.854250848,0.753571451,0.735809505,0.743916869,0.738179386,0.760860264,0.69837606,0.722356319,0.641635656,0.727479398,0.69358778,0.753677189,0.644408524,0.714796901,0.666184962,0.604516983,0.57296592,0.568774879,0.534903407,0.542493582,0.689737499,0.647642612,0.495326698,0.538775384,0.646220624,0.666882157,0.574657857,0.561702907,20.2,1
5,0.661089778,0.877755165,0.852945745,0.761879385,0.848176897,0.762164772,0.7351439,0.751039088,0.737789154,0.761802077,0.694708228,0.747497857,0.645556092,0.71976018,0.699970424,0.760855854,0.647500694,0.723003268,0.664947331,0.588835537,0.587579727,0.562326014,0.53951931,0.531178236,0.697341084,0.638218343,0.515259385,0.536001027,0.650052071,0.66356045,0.573651195,0.564810634,20.3,1
5,0.668234885,0.877920449,0.864505231,0.767085791,0.857038319,0.760988414,0.722785771,0.753885508,0.754340351,0.760151029,0.702094615,0.7480793,0.636619449,0.724761069,0.697727621,0.758336782,0.660106599,0.71059823,0.669110715,0.591906786,0.591872692,0.562907159,0.52974242,0.538764954,0.700211883,0.633498609,0.520670772,0.522632658,0.641152203,0.653199971,0.570854664,0.569759846,20.4,1
5,0.652130723,0.877260506,0.878448606,0.782033026,0.844323516,0.779984534,0.723135352,0.745219231,0.752078414,0.766816795,0.701246381,0.748693347,0.62572068,0.723661542,0.692958355,0.763814032,0.665416896,0.700207114,0.665362418,0.596476912,0.585049391,0.552351713,0.52809149,0.538255215,0.69160074,0.624534607,0.512337804,0.520014942,0.629360974,0.665014148,0.57736367,0.576030016,20.5,1
5,0.640975952,0.894381821,0.876903772,0.770987749,0.837481678,0.777971089,0.72916615,0.748967469,0.749542058,0.76926136,0.692051351,0.760064304,0.632400095,0.728030384,0.703098416,0.766279697,0.659253657,0.695231616,0.678511143,0.599508345,0.593862891,0.551582575,0.536006212,0.542019427,0.692086339,0.61827147,0.522640586,0.539858162,0.630400002,0.66595006,0.568267167,0.568543553,20.6,1
5,0.649708867,0.899591744,0.874526203,0.794971108,0.83313179,0.785463393,0.742897511,0.740806341,0.764337003,0.759469032,0.683322668,0.759932399,0.6248402,0.725985825,0.696801901,0.777061164,0.660731018,0.707175851,0.683683634,0.605837166,0.587356091,0.531585455,0.531333148,0.542996764,0.683903515,0.616275191,0.523542941,0.533286333,0.618526161,0.652409196,0.567991793,0.576660693,20.7,1
5,0.639597714,0.902267933,0.879331231,0.789811671,0.840676308,0.799403191,0.743689001,0.75613153,0.763893664,0.765069485,0.690124512,0.77719748,0.643964112,0.722121239,0.706783831,0.766112089,0.661620617,0.696774602,0.676761031,0.600267887,0.595605075,0.537080765,0.517819822,0.539386392,0.671866238,0.628935635,0.522234201,0.539537013,0.625140131,0.656713188,0.5867607,0.570706427,20.8,1
5,0.624453783,0.901171923,0.876550376,0.799573362,0.844106436,0.79556489,0.733823359,0.753439367,0.774666786,0.768442094,0.700142026,0.764094293,0.634405494,0.727663398,0.7231583,0.767338157,0.660411954,0.687160194,0.692603767,0.599950612,0.575129449,0.533275366,0.516384602,0.549179733,0.653618157,0.626952767,0.521746993,0.531389058,0.634353757,0.663729489,0.575347841,0.582765877,20.9,1
